id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
206,2024-08-09 12:33:46,2024-08-09 12:34:49,,,,,,,,,,,,
207,2024-08-09 12:34:49,2024-08-09 12:36:19,,,,,,,,,,,,
208,2024-08-09 12:36:19,2024-08-09 12:40:41,,00:01:33.9046323,,,,,,,,,,
209,2024-08-09 12:40:41,2024-08-09 12:42:39,,00:01:54.4957955,,,,,,,,,,
210,2024-08-09 12:42:39,2024-08-09 12:45:01,,00:01:35.3035463,,,,,,,,,,
211,2024-08-09 12:45:01,2024-08-09 12:58:30,,00:01:33.5887026,00:02:57.4416648,00:01:18.1573933,00:01:50.2977745,00:01:21.2095519,00:01:07.1250205,00:01:11.5766893,,00:00:44.4332734,,
212,2024-08-09 12:58:30,2024-08-09 12:58:38,,,,,,,,,,,,
213,2024-08-09 12:58:38,2024-08-09 13:00:59,,00:01:36.5180430,,,,,,,,,,
214,2024-08-09 13:00:59,2024-08-09 13:03:47,,00:01:33.8071274,,,,,,,,,,
215,2024-08-09 13:03:47,2024-08-09 13:03:55,,,,,,,,,,,,
216,2024-08-09 13:03:55,2024-08-09 13:04:04,,,,,,,,,,,,
217,2024-08-09 13:04:04,2024-08-09 13:06:45,,00:01:34.2944215,,,,,,,,,,
218,2024-08-09 13:06:45,2024-08-09 13:07:49,,,,,,,,,,,,
219,2024-08-09 13:07:49,2024-08-09 13:10:12,,00:01:33.6633020,,,,,,,,,,
220,2024-08-09 13:10:12,2024-08-09 13:11:39,,,,,,,,,,,,
221,2024-08-09 13:11:39,2024-08-09 13:13:09,,,,,,,,,,,,
222,2024-08-09 13:13:09,2024-08-09 13:16:47,,00:01:33.7126808,,,,,,,,,,
223,2024-08-09 13:16:47,2024-08-09 13:17:56,,,,,,,,,,,,
224,2024-08-09 13:17:56,2024-08-09 13:19:42,,,,,,,,,,,,
225,2024-08-09 13:19:42,2024-08-09 13:19:49,,,,,,,,,,,,
226,2024-08-09 13:19:49,2024-08-09 13:22:44,,00:01:35.0526986,,,,,,,,,,
227,2024-08-09 13:22:44,2024-08-09 13:28:02,,00:01:33.8404661,,,,,,,,,,
228,2024-08-09 13:28:02,2024-08-09 13:29:51,,,,,,,,,,,,
229,2024-08-09 13:29:51,2024-08-09 13:37:01,,00:01:34.3068052,00:03:03.6319899,00:01:18.2844618,,,,,,,,
230,2024-08-09 16:45:44,2024-08-09 17:28:02,,,,,,,,,,,,
231,2024-08-09 17:28:02,2024-08-09 17:31:44,,00:01:33.9463064,,,,,,,,,,
232,2024-08-09 17:31:44,2024-08-09 17:32:47,,,,,,,,,,,,
233,2024-08-09 17:32:47,2024-08-09 17:34:20,,,,,,,,,,,,
234,2024-08-09 17:34:20,2024-08-09 17:35:29,,,,,,,,,,,,
235,2024-08-09 17:35:29,2024-08-09 17:38:18,,00:01:34.2247866,,,,,,,,,,
236,2024-08-09 17:38:18,2024-08-09 17:41:09,,00:01:41.5650709,,,,,,,,,,
237,2024-08-09 17:41:09,2024-08-09 17:42:11,,,,,,,,,,,,
238,2024-08-09 17:42:11,2024-08-09 17:42:18,,,,,,,,,,,,
239,2024-08-09 17:42:18,2024-08-09 17:44:41,,00:01:35.4099751,,,,,,,,,,
240,2024-08-09 17:44:41,2024-08-09 17:46:23,,,,,,,,,,,,
241,2024-08-09 17:46:23,2024-08-09 17:47:25,,,,,,,,,,,,
242,2024-08-09 17:47:25,2024-08-09 17:49:53,,00:01:34.9284576,,,,,,,,,,
243,2024-08-09 17:49:53,2024-08-09 17:52:46,,00:01:34.8707590,,,,,,,,,,
244,2024-08-09 17:52:46,2024-08-09 17:55:33,,00:01:33.9831600,,,,,,,,,,
245,2024-08-09 17:55:33,2024-08-09 17:56:34,,,,,,,,,,,,
246,2024-08-09 17:56:34,2024-08-09 17:58:49,,00:01:33.9080646,,,,,,,,,,
247,2024-08-09 17:58:49,2024-08-09 17:58:59,,,,,,,,,,,,
248,2024-08-09 17:58:59,2024-08-09 18:00:39,,,,,,,,,,,,
249,2024-08-09 18:00:39,2024-08-09 18:03:00,,00:01:34.8957640,,,,,,,,,,
250,2024-08-09 18:03:00,2024-08-09 18:04:02,,,,,,,,,,,,
251,2024-08-09 18:04:02,2024-08-09 18:10:37,,00:01:33.6041187,00:02:58.2011542,00:01:24.3766128,,,,,,,,
252,2024-08-09 18:10:37,2024-08-09 18:12:10,,,,,,,,,,,,
253,2024-08-09 18:12:10,2024-08-09 18:13:11,,,,,,,,,,,,
254,2024-08-09 18:13:11,2024-08-09 18:15:32,,00:01:33.6448417,,,,,,,,,,
255,2024-08-09 18:15:32,2024-08-09 18:17:07,,,,,,,,,,,,
256,2024-08-09 18:17:07,2024-08-09 18:18:08,,,,,,,,,,,,
257,2024-08-09 18:18:08,2024-08-09 18:18:16,,,,,,,,,,,,
258,2024-08-09 18:18:16,2024-08-09 18:19:18,,,,,,,,,,,,
259,2024-08-09 18:19:18,2024-08-09 18:20:53,,,,,,,,,,,,
260,2024-08-09 18:20:53,2024-08-09 18:21:01,,,,,,,,,,,,
261,2024-08-09 18:21:01,2024-08-09 18:23:27,,00:01:35.9321802,,,,,,,,,,
